cardName_TH,cardName_EN,providerName,rewardName,condition,exceptFor,everyBahtSpending,willGetThesePoints,pointPerBaht,maximumAmount,maximumUnit,หมายเหตุ
อเมริกัน เอ็กซ์เพรส ธนาคารกรุงเทพ,Bangkok Bank American Express,กรุงเทพ,Thank You Rewards,ใช้จ่ายทั่วไป,-,25,1,0.04,-,-,-
วีซ่า แพลทินัม ธนาคารกรุงเทพ,Bangkok Bank Visa Platinum,กรุงเทพ,Thank You Rewards,ใช้จ่ายทั่วไป,-,25,1,0.04,-,-,-
วีซ่า แพลทินัมกสิกรไทย,Visa Platinum KBank,กสิกรไทย,K Point,ใช้จ่ายทั่วไป,"ยกเว้นรายการใช้จ่ายดังต่อไปนี้ :
1. รายการใช้จ่ายผ่านบัตร ณ ร้านค้าที่จดทะเบียนในกลุ่มประเทศเขตเศรษฐกิจยุโรปหรือ อีอีเอ* สาธารณรัฐประชาชนจีน (ไม่รวมเขตบริหารพิเศษ เช่น ฮ่องกง มาเก๊า)
2. รายการใช้จ่ายที่เป็นสกุลเงินบาท ณ ร้านค้าในต่างประเทศ และร้านค้าออนไลน์ที่จดทะเบียนในต่างประเทศ
3. รายการเบิกถอนเงินสดล่วงหน้าจากบัญชีบัตรเครดิต รายการชำระค่าสาธารณูปโภค ค่าไฟฟ้า (กฟน./กฟภ.) ค่าน้ำประปา และค่าโทรศัพท์พื้นฐาน(TOT/True/TT&T/CAT)ค่าภาษี,ค่าธรรมเนียมทุกประเภท และรายการชำระเบี้ยประกันควบการลงทุน,ค่าหน่วยลงทุนจากการซื้อขายกองทุนทุกประเภท,รายการซื้อธนบัตรต่างประเทศผ่านบัตรเครดิตค่าธรรมเนียมการถอนเงินสดล่วงหน้า ค่าธรรมเนียมแรกเข้า ค่าธรรมเนียมรายปี ค่าธรรมเนียมการชำระเงินล่าช้า ค่าธรรมเนียมในการออกบัตรใหม่กรณีสูญหาย
ค่าปรับและดอกเบี้ย / รายการใช้จ่ายผ่านบัตรเครดิตวันสยามกสิกรไทยทุกประเภท ในหมวดประกัน",25,1,0.04,800,คะแนน/หมวดร้านค้า/รอบบัญชี,-
เดอะแพสชั่นกสิกรไทย,THE PASSION Visa Signature KBank,กสิกรไทย,K Point,ใช้จ่ายทั่วไป,"ยกเว้นรายการใช้จ่ายดังต่อไปนี้ :
1. รายการใช้จ่ายผ่านบัตร ณ ร้านค้าที่จดทะเบียนในกลุ่มประเทศเขตเศรษฐกิจยุโรปหรือ อีอีเอ* สาธารณรัฐประชาชนจีน (ไม่รวมเขตบริหารพิเศษ เช่น ฮ่องกง มาเก๊า)
2. รายการใช้จ่ายที่เป็นสกุลเงินบาท ณ ร้านค้าในต่างประเทศ และร้านค้าออนไลน์ที่จดทะเบียนในต่างประเทศ
3. รายการเบิกถอนเงินสดล่วงหน้าจากบัญชีบัตรเครดิต รายการชำระค่าสาธารณูปโภค ค่าไฟฟ้า (กฟน./กฟภ.) ค่าน้ำประปา และค่าโทรศัพท์พื้นฐาน(TOT/True/TT&T/CAT)ค่าภาษี,ค่าธรรมเนียมทุกประเภท และรายการชำระเบี้ยประกันควบการลงทุน,ค่าหน่วยลงทุนจากการซื้อขายกองทุนทุกประเภท,รายการซื้อธนบัตรต่างประเทศผ่านบัตรเครดิตค่าธรรมเนียมการถอนเงินสดล่วงหน้า ค่าธรรมเนียมแรกเข้า ค่าธรรมเนียมรายปี ค่าธรรมเนียมการชำระเงินล่าช้า ค่าธรรมเนียมในการออกบัตรใหม่กรณีสูญหาย
ค่าปรับและดอกเบี้ย / รายการใช้จ่ายผ่านบัตรเครดิตวันสยามกสิกรไทยทุกประเภท ในหมวดประกัน",25,1,0.04,800,คะแนน/หมวดร้านค้า/รอบบัญชี,-
คาร์ดเอ็กซ์ อัลตรา แพลทินัม,CardX ULTRA PLATINUM,คาร์ด เอกซ์,CardX Rewards,ใช้จ่ายทั่วไป,-,25,1,0.04,-,-,-
คาร์ดเอ็กซ์ มาย แทรเวล,CardX MY TRAVEL,คาร์ด เอกซ์,CardX Rewards,ใช้จ่ายทั่วไป,-,25,1,0.04,-,-,-
ทีทีบี โซชิลล์,ttb so chill,ทหารไทยธนชาต,ttb rewards plus,ใช้จ่ายทั่วไป,"ยกเว้นรายการใช้จ่ายดังต่อไปนี้ :
ประกันชีวิตที่พ่วง Unit Linked
รายการซื้อกองทุนรวมทุกประเภท
รายการเบิกเงินสดล่วงหน้า (cash advance)
รายการใช้จ่ายที่มีการยกเลิก
รายการชำระค่าดอกเบี้ย
รายการชำระค่าปรับ และค่าธรรมเนียมต่างๆ
รายการแบ่งจ่าย ttb so goood
รายการผ่อนชำระ pay plan ณ ร้านค้า
รายการเบิกเงินสดผ่อนชิลล์ๆ (cash chill chill)
รายการโอนเงิน (cash transfer)
รายการแลกเงินตราต่างประเทศ
รายการใช้จ่ายเชิงธุรกิจ
รายการชำระค่าภาษี
รายการซื้อและชำระค่าเบี้ยประกันทุกประเภท
รายการใช้จ่าย ณ ร้านค้าที่จดทะเบียนในสาธารณรัฐประชาชนจีน (ไม่รวมเขตปกครองพิเศษ เช่น ฮ่องกง มาเก๊า) และเขตเศรษฐกิจยุโรป (EEA) 31 ประเทศรวมสหราชอาณาจักร ทุกสกุลเงิน
รายการใช้จ่ายที่ 7-Eleven
รายการใช้จ่ายกับร้านค้าจดทะเบียนในต่างประเทศ แต่ทำรายการเป็นสกุลเงินบาท
รายการใช้จ่ายในสถานีบริการน้ำมันทุกประเภท
รายการใช้จ่ายที่เกี่ยวกับระบบขนส่งสาธารณะทุกประเภท",25,1,0.04,20000,คะแนน/บัญชีบัตร/รอบบัญชี,-
ทีทีบี โซฟาสต์,ttb so fast,ทหารไทยธนชาต,ttb rewards plus,ใช้จ่ายทั่วไป,"ยกเว้นรายการใช้จ่ายดังต่อไปนี้ :
ประกันชีวิตที่พ่วง Unit Linked
รายการซื้อกองทุนรวมทุกประเภท
รายการเบิกเงินสดล่วงหน้า (cash advance)
รายการใช้จ่ายที่มีการยกเลิก
รายการชำระค่าดอกเบี้ย
รายการชำระค่าปรับ และค่าธรรมเนียมต่างๆ
รายการแบ่งจ่าย ttb so goood
รายการผ่อนชำระ pay plan ณ ร้านค้า
รายการเบิกเงินสดผ่อนชิลล์ๆ (cash chill chill)
รายการโอนเงิน (cash transfer)
รายการแลกเงินตราต่างประเทศ
รายการใช้จ่ายเชิงธุรกิจ
รายการชำระค่าภาษี
รายการซื้อและชำระค่าเบี้ยประกันทุกประเภท
รายการใช้จ่าย ณ ร้านค้าที่จดทะเบียนในสาธารณรัฐประชาชนจีน (ไม่รวมเขตปกครองพิเศษ เช่น ฮ่องกง มาเก๊า) และเขตเศรษฐกิจยุโรป (EEA) 31 ประเทศรวมสหราชอาณาจักร ทุกสกุลเงิน
รายการใช้จ่ายที่ 7-Eleven
รายการใช้จ่ายกับร้านค้าจดทะเบียนในต่างประเทศ แต่ทำรายการเป็นสกุลเงินบาท
รายการใช้จ่ายในสถานีบริการน้ำมันทุกประเภท
รายการใช้จ่ายที่เกี่ยวกับระบบขนส่งสาธารณะทุกประเภท",10,1,0.1,20000,คะแนน/บัญชีบัตร/รอบบัญชี,-
ทีทีบี แอปโซลูท,ttb absolute,ทหารไทยธนชาต,ttb rewards plus,ใช้จ่ายทั่วไป,"ยกเว้นรายการใช้จ่ายดังต่อไปนี้ :
ประกันชีวิตที่พ่วง Unit Linked
รายการซื้อกองทุนรวมทุกประเภท
รายการเบิกเงินสดล่วงหน้า (cash advance)
รายการใช้จ่ายที่มีการยกเลิก
รายการชำระค่าดอกเบี้ย
รายการชำระค่าปรับ และค่าธรรมเนียมต่างๆ
รายการแบ่งจ่าย ttb so goood
รายการผ่อนชำระ pay plan ณ ร้านค้า
รายการเบิกเงินสดผ่อนชิลล์ๆ (cash chill chill)
รายการโอนเงิน (cash transfer)
รายการแลกเงินตราต่างประเทศ
รายการใช้จ่ายเชิงธุรกิจ
รายการชำระค่าภาษี
รายการซื้อและชำระค่าเบี้ยประกันทุกประเภท
รายการใช้จ่าย ณ ร้านค้าที่จดทะเบียนในสาธารณรัฐประชาชนจีน (ไม่รวมเขตปกครองพิเศษ เช่น ฮ่องกง มาเก๊า) และเขตเศรษฐกิจยุโรป (EEA) 31 ประเทศรวมสหราชอาณาจักร ทุกสกุลเงิน
รายการใช้จ่ายที่ 7-Eleven
รายการใช้จ่ายกับร้านค้าจดทะเบียนในต่างประเทศ แต่ทำรายการเป็นสกุลเงินบาท
รายการใช้จ่ายในสถานีบริการน้ำมันทุกประเภท
รายการใช้จ่ายที่เกี่ยวกับระบบขนส่งสาธารณะทุกประเภท",20,1,0.1,200000,คะแนน/บัญชีบัตร/รอบบัญชี,-
เคทีซี อโกด้า เวิล์ด รีวอร์ด มาสเตอร์การ์ด,KTC AGODA WORLD REWARDS MASTERCARD,บัตรกรุงไทย,KTC FOREVER,ใช้จ่ายทั่วไป,-,25,1,0.04,-,-,-